Manufacturer,Model Name,Category,Screen Size,Screen,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros)
HP,ProBook 470,Notebook,"17.3""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 930MX,Windows,10,2.5kg,923
Dell,Inspiron 3567,Notebook,"15.6""",1366x768,8GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.3kg,459
Acer,Aspire A315-51,Notebook,"15.6""",1366x768,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,2.1kg,449
MSI,GT80S 6QF-074US,Gaming,"18.4""",Full HD 1920x1080,32GB,512GB SSD +  1TB HDD,Nvidia GTX 980 SLI,Windows,10,4.4kg,2799
Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,"15.6""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,AMD R17M-M1-70,Windows,10,1.90kg,813
HP,Spectre x360,2 in 1 Convertible,"13.3""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.29kg,1499
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Linux,,2.02kg,1049
Dell,XPS 13,Ultrabook,"13.3""",Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.23kg,1399
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,"13.9""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.4kg,1849
Toshiba,Satellite Pro,Notebook,"15.6""",1366x768,8GB,128GB SSD,Intel HD Graphics 620,Windows,10,2.0kg,793
Xiaomi,Mi Notebook,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce MX150,No OS,,1.95kg,1199
Dell,Inspiron 7773,Notebook,"17.3""",Full HD / Touchscreen 1920x1080,16GB,512GB SSD,Nvidia GeForce 150MX,Windows,10,2.77kg,1549
Dell,XPS 15,Notebook,"15.6""",4K Ultra HD / Touchscreen 3840x2160,16GB,512GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.06kg,2397
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1050,No OS,,2.4kg,779
Acer,Swift 7,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 615,Windows,10,1.12kg,989
Dell,Inspiron 5770,Notebook,"17.3""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.8kg,1085
Lenovo,Thinkpad Yoga,2 in 1 Convertible,"14.0""",Touchscreen 2560x1440,16GB,1TB SSD,Intel HD Graphics 620,Windows,10,1.42kg,2824
Vero,K147 (N3350/4GB/32GB/FHD/W10),Notebook,"14.0""",IPS Panel Full HD 1920x1080,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.3kg,260
Xiaomi,Mi Notebook,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce MX150,No OS,,1.3kg,999.9
Lenovo,IdeaPad 320-17IKBR,Notebook,"17.3""",1600x900,8GB,256GB SSD,Nvidia GeForce MX150,No OS,,2.8kg,698
Dell,Inspiron 5379,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,1TB HDD,Intel UHD Graphics 620,Windows,10,1.62kg,839
HP,ProBook 470,Notebook,"17.3""",IPS Panel Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce 930MX,Windows,10,2.5kg,914
Razer,Blade Pro,Gaming,"17.3""",4K Ultra HD / Touchscreen 3840x2160,32GB,1TB SSD,Nvidia GeForce GTX 1080,Windows,10,3.49kg,6099
HP,ProBook 430,Notebook,"13.3""",Full HD 1920x1080,8GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.49kg,959
HP,Omen 17-W295,Gaming,"17.3""",IPS Panel Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,3.35kg,1379
HP,Probook 470,Notebook,"17.3""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 930MX ,Windows,10,2.5kg,1045
Dell,Inspiron 7577,Gaming,"15.6""",IPS Panel 4K Ultra HD 3840x2160,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.65kg,1845
Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,"15.6""",1366x768,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,2.1kg,493
Acer,Aspire E5-576G,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce 940MX,Windows,10,2.23kg,742
Lenovo,Legion Y720-15IKB,Gaming,"15.6""",IPS Panel Full HD 1920x1080,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,3.2kg,1749
Dell,Precision 7520,Workstation,"15.6""",4K Ultra HD 3840x2160,16GB,256GB SSD +  1TB HDD,Nvidia Quadro M1200,Windows,10,2.8kg,3055
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",Full HD 1920x1080,16GB,512GB SSD,Nvidia GeForce GTX 1060,No OS,,2.4kg,1398
Dell,Inspiron 3567,Notebook,"15.6""",Touchscreen 1366x768,6GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.3kg,439
Dell,XPS 13,Ultrabook,"13.3""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.21kg,1949
Dell,XPS 13,Ultrabook,"13.3""",Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.2kg,1449
Lenovo,IdeaPad 320-15IKBN,Notebook,"15.6""",1366x768,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.2kg,597
Acer,Aspire 7,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce GTX 1050,Linux,,2.4kg,779
Asus,ROG GL703VD-GC028T,Gaming,"17.3""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.9kg,1407
HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,Notebook,"15.6""",Full HD 1920x1080,4GB,500GB HDD,Intel HD Graphics 520,No OS,,2.1kg,349
Lenovo,IdeaPad 320-15IKBN,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,No OS,,2.2kg,549
Huawei,MateBook X,Ultrabook,"13.0""",IPS Panel Full HD 2160x1440,8GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.05kg,1499
Dell,Inspiron 5370,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,AMD Radeon 530,Windows,10,1.4kg,931.88
Lenovo,IdeaPad 320-17IKB,Notebook,"17.3""",1600x900,8GB,1TB HDD,Nvidia GeForce GTX 940MX,No OS,,2.8kg,589
HP,Probook 440,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 930MX,Windows,10,1.63kg,1031
Dell,Latitude 5490,Ultrabook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.6kg,1149
Dell,Inspiron 5379,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,16GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.62kg,1279
Dell,Inspiron 3576,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,AMD Radeon 520,Linux,,2.2kg,677.35
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.74kg,899
Toshiba,Portege Z30-C-16L,Ultrabook,"13.3""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.2kg,1363
HP,ProBook 450,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Intel UHD Graphics 620,Windows,10,2.1kg,794
Dell,Alienware 17,Gaming,"17.3""",IPS Panel Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,4.42kg,2456.34
Acer,Aspire E5-576G,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 940MX,Windows,10,2.2kg,832
Dell,Inspiron 5567,Notebook,"15.6""",Full HD / Touchscreen 1920x1080,16GB,1TB HDD,AMD Radeon R7 M445,Windows,10,2.3kg,859.01
Asus,Vivobook X541UV-DM1217T,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 920MX ,Windows,10,2kg,769
Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,"17.3""",Full HD 1920x1080,8GB,256GB SSD +  500GB HDD,Nvidia GeForce GTX 950M,Windows,10,2.69kg,891
HP,ZBook 15u,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,AMD FirePro W4190M ,Windows,10,1.9kg,1269
Asus,Pro P2540UA-XO0198T,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.37kg,398.99
HP,15-rb013nv (E2-9000e/4GB/500GB/W10),Notebook,"15.6""",1366x768,4GB,500GB HDD,AMD Radeon R2,Windows,10,2.1kg,330
Lenovo,Legion Y720-15IKB,Gaming,"15.6""",IPS Panel Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,3.2kg,1499
Dell,Vostro 5468,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.6kg,859
Acer,Aspire R7,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.6kg,689
Dell,Inspiron 5567,Notebook,"15.6""",Full HD 1920x1080,16GB,256GB SSD,AMD Radeon R7 M445,Linux,,2.36kg,899
Acer,Aspire A315-51,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 520,Linux,,2.1kg,390
Asus,X555QG-DM242T (A10-9620P/4GB/1TB,Notebook,"15.6""",Full HD 1920x1080,4GB,128GB SSD +  1TB HDD,AMD Radeon R5 M430,Windows,10,2.2kg,575
Asus,ROG G703VI-E5062T,Gaming,"17.3""",Full HD 1920x1080,32GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1080,Windows,10,4.7kg,3890
Acer,Nitro AN515-51,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.5kg,846
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",1366x768,8GB,128GB SSD,Intel HD Graphics 520,Windows,10,2.2kg,589
Asus,VivoBook Pro,Notebook,"17.3""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 150MX,Windows,10,2.1kg,1145
Asus,F756UX-T4201D (i7-7500U/8GB/128GB,Notebook,"17.3""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 950M,No OS,,2.69kg,889
Dell,Inspiron 5577,Gaming,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.56kg,879
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,"13.9""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.38kg,1079
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,8GB,128GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.2kg,985
HP,15-bs015dx (i5-7200U/8GB/1TB/W10),Notebook,"15.6""",Touchscreen 1366x768,8GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.04kg,559
Asus,Rog G701VIK-BA060T,Gaming,"17.3""",Full HD 1920x1080,16GB,256GB SSD,Nvidia GeForce GTX 1080,Windows,10,3.6kg,2999
HP,ProBook 430,Notebook,"13.3""",IPS Panel Full HD 1920x1080,4GB,500GB HDD,Intel UHD Graphics 620,Windows,10,1.49kg,675
Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,8GB,512GB SSD,Intel Iris Plus Graphics 650,macOS,,1.37kg,2040
Dell,Inspiron 5579,2 in 1 Convertible,"15.6""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,1TB HDD,Intel UHD Graphics 620,Windows,10,2.08kg,819
Asus,ROG G752VSK-GC493T,Gaming,"17.3""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 980M,Windows,10,4.3kg,1799
Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,Notebook,"15.6""",1366x768,4GB,1TB HDD,AMD Radeon R5 M420,Windows,10,1.68kg,469
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,"13.9""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.37kg,1849
Acer,Aspire 5,Notebook,"17.3""",IPS Panel Full HD 1920x1080,4GB,256GB SSD,Nvidia GeForce MX130,Windows,10,3kg,702
Dell,Vostro 5370,Ultrabook,"13.3""",Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.41kg,949
HP,15-BW094nd (A6-9220/8GB/128GB/W10),Notebook,"15.6""",1366x768,8GB,128GB SSD,AMD Radeon R4 Graphics,Windows,10,1.91kg,445.9
HP,Envy 17-U275cl,Notebook,"17.3""",IPS Panel Full HD 1920x1080,16GB,1TB HDD,Nvidia GeForce MX150,Windows,10,2.9kg,1059
MSI,GT73EVR 7RE,Gaming,"17.3""",Full HD 1920x1080,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.14kg,2499
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,"15.6""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,512GB SSD,Nvidia GeForce GTX 1050M,Windows,10,2kg,1699
Dell,Inspiron 5770,Notebook,"17.3""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.8kg,1142
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,Intel HD Graphics 520,No OS,,2.2kg,444
HP,ProBook 450,Notebook,"15.6""",IPS Panel Full HD 1920x1080,4GB,500GB HDD,Intel HD Graphics 620,Windows,10,2.1kg,722
Dell,Vostro 3568,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.18kg,657
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,AMD Radeon R5 M430,Windows,10,2.24kg,565
Dell,Inspiron 5579,2 in 1 Convertible,"15.6""",Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,2.67kg,799
Asus,ZenBook Flip,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,8GB,512GB SSD +  512GB SSD,Intel UHD Graphics 620,Windows,10,1.1kg,1499
Lenovo,IdeaPad 320-15IKBN,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Intel HD Graphics 620,No OS,,2.2kg,467
HP,Probook 470,Notebook,"17.3""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce 930MX ,Windows,10,2.5kg,1018
Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,2.05kg,880
Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,8GB,512GB SSD,Intel Iris Graphics 550,macOS,,1.37kg,1958.9
Asus,Rog Strix,Gaming,"17.3""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows,10,3.2kg,1549
Dell,Inspiron 3576,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,AMD Radeon 520,Linux,,2.14kg,735.07
Lenovo,ThinkPad X1,2 in 1 Convertible,"14.0""",Touchscreen 2560x1440,16GB,512GB SSD,Intel HD Graphics 520,Windows,10,1.36kg,2499
Toshiba,Satellite Pro,Notebook,"15.6""",1366x768,8GB,500GB HDD,Nvidia GeForce 930M,Windows,10,2.2kg,812
Dell,Inspiron 5567,Notebook,"15.6""",1366x768,12GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.3kg,713.07
Dell,Inspiron 5770,Notebook,"17.3""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Linux,,2.8kg,1099
Acer,Aspire A515-51G,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce MX130,Windows,10,2.2kg,745
Lenovo,IdeaPad 320-17ISK,Notebook,"17.3""",1600x900,4GB,1TB HDD,Intel HD Graphics 520,Windows,10,2.8kg,489
Lenovo,IdeaPad 320-17IKBR,Notebook,"17.3""",Full HD 1920x1080,8GB,2TB HDD,Nvidia GeForce MX150,No OS,,2.8kg,849
Lenovo,IdeaPad 320-17IKB,Notebook,"17.3""",1600x900,6GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows,10,2.8kg,859
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,AMD Radeon R5 M430,Linux,,2.25kg,428
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.5kg,829
Lenovo,Ideapad 320-15IKBN,Notebook,"15.6""",Full HD 1920x1080,6GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.2kg,579
Acer,Aspire A517-51G,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce MX150,Windows,10,3kg,951
Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),Notebook,"15.6""",IPS Panel Full HD / Touchscreen 1920x1080,12GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.15kg,659
Lenovo,Thinkpad T570,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 630,Windows,10,1.95kg,1097
Asus,VivoBook S15,Ultrabook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.7kg,977
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5kg,1179
Lenovo,IdeaPad 320-15IKB,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce 940MX,No OS,,2.2kg,659.01
Acer,Chromebook C910-C2ST,Notebook,"15.6""",1366x768,2GB,16GB SSD,Intel HD Graphics,Chrome OS,,2.19kg,199
Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Gaming,"17.3""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,3kg,1187
HP,17-BS037cl (i3-6006U/8GB/1TB/W10),Notebook,"17.3""",1600x900,8GB,1TB HDD,Intel HD Graphics 520,Windows,10,2.54kg,489
Dell,XPS 15,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2kg,1829
Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,2.05kg,739
Lenovo,Legion Y720-15IKB,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce GTX 1060,Windows,10,3.2kg,1299
Acer,Aspire A715-71G,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Linux,,2.5kg,979
Dell,Precision 7720,Workstation,"17.3""",Full HD 1920x1080,16GB,256GB SSD,Nvidia Quadro M1200,Windows,10,3.42kg,2884.86
Lenovo,IdeaPad 310-15ABR,Notebook,"15.6""",Full HD 1920x1080,6GB,1TB HDD,AMD Radeon R5 430,Windows,10,2.4kg,499
Asus,ZenBook UX530UQ-PRO,Ultrabook,"15.6""",Full HD 1920x1080,16GB,512GB SSD,Nvidia GeForce 940MX,Windows,10,1.63kg,1468
Asus,VivoBook S14,Notebook,"14.0""",1366x768,4GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.3kg,509
Asus,Rog GL702VS-GC095T,Gaming,"17.3""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,2.9kg,2122
Lenovo,IdeaPad 320-17IKB,Notebook,"17.3""",1600x900,6GB,1TB HDD,Nvidia GeForce GTX 940M,Windows,10,2.8kg,649
Lenovo,IdeaPad 320-15IKBN,Notebook,"15.6""",1366x768,8GB,2TB HDD,Nvidia GeForce 940MX,No OS,,2.2kg,549
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,"15.6""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5kg,1265
Lenovo,IdeaPad 320-15IAP,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 505,No OS,,2.2kg,359.99
HP,EliteBook x360,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,16GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.28kg,1975
Toshiba,Satellite Pro,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 930M,Windows,10,2.2kg,1043
Lenovo,IdeaPad 320-15IKB,Notebook,"15.6""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows,10,2.3kg,819
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Intel HD Graphics 520,Windows,10,1.86kg,469
Lenovo,IdeaPad 720S-13IKB,Notebook,"13.3""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.1kg,999
Dell,XPS 13,Ultrabook,"13.3""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16GB,1TB SSD,Intel UHD Graphics 620,Windows,10,1.21kg,2499
MSI,GE63VR 7RF,Gaming,"15.6""",IPS Panel Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,2.8kg,2099
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,AMD Radeon R5,Windows,10,2.23kg,469
Asus,VivoBook Flip,2 in 1 Convertible,"11.6""",Touchscreen 1366x768,2GB,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.1kg,275
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.33kg,844
HP,Spectre x360,2 in 1 Convertible,"13.3""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16GB,1TB SSD,Intel UHD Graphics 620,Windows,10,1.29kg,2449
Lenovo,ThinkPad 13,Notebook,"13.3""",1366x768,4GB,16GB Flash Storage,Intel HD Graphics 510,Chrome OS,,1.45kg,459.9
HP,ProBook 640,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.95kg,980
Acer,TravelMate B,Notebook,"11.6""",1366x768,4GB,128GB Flash Storage,Intel HD Graphics 405,Windows,10,1.4kg,485
HP,Elitebook 840,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.48kg,1292
Lenovo,IdeaPad 320-17IKB,Notebook,"17.3""",1600x900,4GB,1TB HDD,Nvidia GeForce 920MX,Windows,10,2.79kg,589
Asus,ZenBook UX410UA-GV183T,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2kg,1094
HP,ProBook 450,Notebook,"15.6""",IPS Panel Full HD 1366x768,8GB,1TB HDD,Intel UHD Graphics 620,Windows,10,2.1kg,902
Acer,Aspire 5,Notebook,"15.6""",1366x768,8GB,256GB SSD,AMD Radeon RX 540,Windows,10,2.2kg,659
Lenovo,IdeaPad 120S-14IAP,Notebook,"14.0""",1366x768,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.44kg,292
Acer,Aspire E5-575,Notebook,"15.6""",1366x768,6GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.23kg,549
Asus,VivoBook S15,Ultrabook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.7kg,1049.9
HP,Elitebook 820,Ultrabook,"12.5""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.26kg,1335
Dell,XPS 15,Notebook,"15.6""",4K Ultra HD / Touchscreen 3840x2160,32GB,1TB SSD,Nvidia GeForce GTX 1050,Windows,10,2.06kg,2639
MSI,GL72M 7REX,Gaming,"17.3""",Full HD 1920x1080,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.7kg,1199
Toshiba,Satellite Pro,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.0kg,943
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD +  1TB HDD,Intel HD Graphics 620,Windows,10,2kg,1334
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Intel HD Graphics 520,Windows,10,1.85kg,449
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.5kg,999
HP,EliteBook 840,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.48kg,1268
Dell,Inspiron 7570,Ultrabook,"15.6""",IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows,10,1.9kg,1049
HP,Elitebook 850,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.84kg,1144
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 500,Linux,,2kg,274.99
Dell,Inspiron 7570,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 940MX,Windows,10,2kg,1142.75
Dell,Inspiron 3552,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics,Linux,,2.2kg,274.9
Lenovo,IdeaPad 320-15ABR,Notebook,"15.6""",Full HD 1920x1080,12GB,2TB HDD,AMD Radeon 530,Windows,10,2.2kg,899
HP,ProBook 450,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce 930MX ,Windows,10,2.1kg,716
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,"13.9""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.4kg,2099
Dell,XPS 13,Ultrabook,"13.3""",Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.2kg,1579
